AUDIO SIMILARITY REPORT (PANNs CNN14 + LanceDB)
================================================================================
                orig_title      cover_artist                cover_title  match_value
                  Nonsense              IMY2                      Creep     0.752121
                     Creep    Joseph Vincent                   Nonsense     0.751669
                  Nonsense      Celine Wanyi                     Snooze     0.751612
                Easy On Me     Leroy Sanchez                   Stitches     0.751553
                  Nonsense       Matt Wilson        We Can’t Be Friends     0.751537
        Birds Of A Feather  Jasmine Thompson                       Halo     0.751443
         Love On The Brain      Dominic Fike                       Bags     0.750927
                    Sparks        Lazulitchi         Birds Of A Feather     0.750551
                    Sparks      Celine Wanyi                     Snooze     0.750450
Can’t Help Falling In Love      Will Gittens                 Easy On Me     0.749899
                    Coffee    Joseph Vincent                   Nonsense     0.749748
                    Snooze        Peter Katz                       Halo     0.749591
                  Stitches        Lucy Ellis Can’t Help Falling In Love     0.749148
                    Sparks     Alyssa Bernal                  I’m Yours     0.748885
                    Snooze        Nica Tupas        We Can’t Be Friends     0.748853
                Easy On Me       Hannah Grae                Sailor Song     0.748837
                      Bags     Conor Maynard                   Stitches     0.748773
                  Stitches           Rhianne                       Bags     0.748732
       We Can’t Be Friends    Kelly Clarkson         Birds Of A Feather     0.748579
                 I’m Yours       Hannah Grae                Sailor Song     0.748552
        Birds Of A Feather       Teddy Swims               Cruel Summer     0.748388
                  Stitches            Emilee                     Coffee     0.747857
                 I’m Yours        Lucy Ellis Can’t Help Falling In Love     0.747640
               Sailor Song      Will Gittens                 Easy On Me     0.747567
             Cruel Summer               IMY2                      Creep     0.747295
        Birds Of A Feather      Celine Wanyi                     Snooze     0.747212
                  Stitches     Forest Slater                     Sparks     0.747174
                    Coffee            Hozier           Do I Wanna Know?     0.747094
                    Snooze           Lloyiso                 Easy On Me     0.746771
                    Snooze      Kina Grannis            Sweater Weather     0.746502
                 I’m Yours Marianne Beaulieu                Sailor Song     0.745913
                     Creep     Leroy Sanchez                   Stitches     0.745414
                  Stitches Marianne Beaulieu                Sailor Song     0.745364
                  Nonsense     Billie Eilish                      Creep     0.745171
          Do I Wanna Know?     Billie Eilish                      Creep     0.745055
                Easy On Me    Joseph Solomon          Love On The Brain     0.744223
Can’t Help Falling In Love    Joseph Solomon          Love On The Brain     0.743962
        Birds Of A Feather    Joseph Vincent                   Nonsense     0.743685
                    Sparks          Noah Red                     Snooze     0.743277
                    Coffee  Jasmine Thompson                       Halo     0.743172
                  Stitches       Audrey Mika          Love On The Brain     0.742444
                    Sparks      Dustin Vuong                     Coffee     0.742116
       We Can’t Be Friends  Jasmine Thompson                       Halo     0.742089
                    Sparks      Alessia Cara            Sweater Weather     0.741965
                    Sparks           Rhianne                       Bags     0.741889
Can’t Help Falling In Love     Alec Chambers               Cruel Summer     0.741840
           Sweater Weather        Nica Tupas        We Can’t Be Friends     0.740932
       We Can’t Be Friends      Kina Grannis            Sweater Weather     0.740426
                     Creep   Hearts & Colors                  I’m Yours     0.739631
Can’t Help Falling In Love     Forest Slater                     Sparks     0.739411
       We Can’t Be Friends           Lloyiso                 Easy On Me     0.738667
                    Snooze       Teddy Swims               Cruel Summer     0.738139
        Birds Of A Feather       Matt Wilson        We Can’t Be Friends     0.737868
Can’t Help Falling In Love     Alyssa Bernal                  I’m Yours     0.737559
                     Creep           Lloyiso                 Easy On Me     0.736992
                Easy On Me            Hozier           Do I Wanna Know?     0.736783
         Love On The Brain   Hearts & Colors                  I’m Yours     0.736576
                    Snooze            Hozier           Do I Wanna Know?     0.736421
         Take Me To Church       Hannah Grae                Sailor Song     0.736217
                    Snooze       Matt Wilson        We Can’t Be Friends     0.735971
                  Nonsense    Joseph Vincent                   Nonsense     0.735939
                 I’m Yours      Celine Wanyi                     Snooze     0.735803
          Do I Wanna Know?   Hearts & Colors                  I’m Yours     0.735075
           Sweater Weather       Matt Wilson        We Can’t Be Friends     0.734314
        Birds Of A Feather   Hearts & Colors                  I’m Yours     0.733495
                    Coffee          Noah Red                     Snooze     0.733264
          Do I Wanna Know?           Lloyiso                 Easy On Me     0.733182
                 I’m Yours    Sofia Karlberg          Take Me To Church     0.733063
               Sailor Song     Conor Maynard                   Stitches     0.732855
                    Snooze     Leroy Sanchez                   Stitches     0.732797
           Sweater Weather       Hannah Grae                Sailor Song     0.731423
           Sweater Weather      Dixzie Cruel                   Nonsense     0.731107
                Easy On Me        Lucy Ellis Can’t Help Falling In Love     0.730857
Can’t Help Falling In Love      Dustin Vuong                     Coffee     0.729879
                 I’m Yours      Will Gittens                 Easy On Me     0.729859
           Sweater Weather      Will Gittens                 Easy On Me     0.729693
             Cruel Summer      Alec Chambers               Cruel Summer     0.729143
                    Coffee              IMY2                      Creep     0.728650
         Love On The Brain        Nica Tupas        We Can’t Be Friends     0.728387
         Take Me To Church      Will Gittens                 Easy On Me     0.728256
               Sailor Song     Alyssa Bernal                  I’m Yours     0.728032
               Sailor Song            Emilee                     Coffee     0.727956
             Cruel Summer        Teddy Swims               Cruel Summer     0.727859
               Sailor Song     Forest Slater                     Sparks     0.727558
                      Bags            Hozier           Do I Wanna Know?     0.726820
          Do I Wanna Know?     Leroy Sanchez                   Stitches     0.726028
         Love On The Brain     Leroy Sanchez                   Stitches     0.725697
                  Nonsense            Hozier           Do I Wanna Know?     0.725199
                  Stitches       Matt Wilson        We Can’t Be Friends     0.725168
                Easy On Me Marianne Beaulieu                Sailor Song     0.724900
                  Nonsense   Hearts & Colors                  I’m Yours     0.724680
                      Bags           Lloyiso                 Easy On Me     0.723847
                     Creep    Joseph Solomon          Love On The Brain     0.723520
               Sailor Song  Jasmine Thompson                       Halo     0.723379
Can’t Help Falling In Love            Emilee                     Coffee     0.723259
                Easy On Me   Hearts & Colors                  I’m Yours     0.723092
               Sailor Song      Alessia Cara            Sweater Weather     0.723058
         Love On The Brain       Matt Wilson        We Can’t Be Friends     0.722242
         Take Me To Church        Lucy Ellis Can’t Help Falling In Love     0.721618
                    Coffee           Lloyiso                 Easy On Me     0.721477
                      Bags    Joseph Vincent                   Nonsense     0.721413
                 I’m Yours      Alessia Cara            Sweater Weather     0.720920
          Do I Wanna Know?    Joseph Solomon          Love On The Brain     0.720370
       We Can’t Be Friends     Alec Chambers               Cruel Summer     0.720054
                 I’m Yours      Dustin Vuong                     Coffee     0.719651
                 I’m Yours       Matt Wilson        We Can’t Be Friends     0.719039
          Do I Wanna Know?     Conor Maynard                   Stitches     0.718918
       We Can’t Be Friends        Nica Tupas        We Can’t Be Friends     0.718436
                    Snooze       Hannah Grae                Sailor Song     0.717222
                    Coffee     Conor Maynard                   Stitches     0.717021
           Sweater Weather        Lucy Ellis Can’t Help Falling In Love     0.716582
             Cruel Summer     Joseph Vincent                   Nonsense     0.716521
       We Can’t Be Friends            Hozier           Do I Wanna Know?     0.716412
                    Coffee       Teddy Swims               Cruel Summer     0.716374
       We Can’t Be Friends     Billie Eilish                      Creep     0.716145
Can’t Help Falling In Love  Jasmine Thompson                       Halo     0.715921
                  Nonsense        Lucy Ellis Can’t Help Falling In Love     0.715567
                Easy On Me      Will Gittens                 Easy On Me     0.715367
                     Creep        Lucy Ellis Can’t Help Falling In Love     0.714449
Can’t Help Falling In Love       Audrey Mika          Love On The Brain     0.714025
Can’t Help Falling In Love      Dominic Fike                       Bags     0.713809
                Easy On Me     Billie Eilish                      Creep     0.712163
                    Snooze  Jasmine Thompson                       Halo     0.711641
           Sweater Weather  Jasmine Thompson                       Halo     0.711137
