pkid,url,song_id,title,artist,file_name,song_version,bpm
cb3f4309-ed23-4095-b199-1521bbd94321,https://youtu.be/dQz0U6LV-ME?si=9_CydH6FtsT5_7nn,17,I’m Yours,Alyssa Bernal,alyssa_bernal_im_yours.mp3,cover,64.6
7c0f4ef9-15b8-4ee8-85cf-8f1f83de93e0,https://youtu.be/VAmXnnXiwbM?si=LTBkB-Qhuibvt37X,17,I’m Yours,Hearts & Colors,hearts_&_colors_im_yours.mp3,cover,152.0
77bf1c50-e1d2-435d-8f36-c344d67a0131,https://youtu.be/Sv5yCzPCkv8?si=tS2SoQC6WsM6UUOp,18,Snooze,SZA,sza_snooze.mp3,original,143.55
227f829c-6ce0-4473-a5a2-d69d2870618b,https://youtu.be/elZPkEtlEb0?si=5exWphrw8l5KqIa3,18,Snooze,Celine Wanyi,celine_wanyi_snooze.mp3,cover,136.0
8cfb673a-44b5-42b1-ad1f-4377ccaa73fa,https://youtu.be/jCXVIlZ39x8?si=k-GyWlYY0BFKcA7n,18,Snooze,Noah Red,noah_red_snooze.mp3,cover,129.2
5374a67e-f949-45d3-8e39-206642574c29,https://youtu.be/L9HYJbe9Y18?si=mKqZfJgmEHDZ2Ipm,19,Bags,Clairo,clairo_bags.mp3,original,103.36
7583741e-3091-4b5b-a1b7-3d94e9daac37,https://youtu.be/7WyrPH0JJF0?si=C6lFTz33K2RQqTN5,19,Bags,Dominic Fike,dominic_fike_bags.mp3,cover,117.45
7966ea33-7cb3-4712-8918-ee5417c6934c,https://youtu.be/0Vn_Ff4aTdY?si=dRfnwAa3gcMazzTf,19,Bags,Rhianne,rhianne_bags.mp3,cover,99.38
20a90d75-4880-451d-8c1f-3742f4a4cf7d,https://youtu.be/Ar48yzjn1PE?si=JO4MdwqCSCiEEwzD,20,Sparks,Coldplay,coldplay_sparks.mp3,original,136.0
063c7c1c-a424-4fb0-aaa7-7482f812c4cf,https://youtu.be/R-PVXOHtd4w?si=TV_Plu8qOnmCga-f,20,Sparks,Connie Park,connie_park_sparks.mp3,cover,117.45
1d9f84ea-556e-4ac4-9229-f0f426622114,https://youtu.be/TIB2ANm9zBs?si=jTepUb3umHuMIwuV,20,Sparks,Forest Slater,forest_slater_sparks.mp3,cover,117.45
